transcript_name,SpeakerName,Content,ResearcherName,Email,Institution,Final_Code,Consistency,vote_1,vote_2,vote_3,vote_4,vote_5,Original_coding,human_code
1005-03-Ag Unitized Report.xlsx,1,Hey there.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,Hi.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,This is all going?  ,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"All right, let’s get some points.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"All right, let’s do it.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"So let’s talk about, of the five things, what.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,P1
1005-03-Ag Unitized Report.xlsx,1,"So of the five things, what’s most important to you?",,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QR
1005-03-Ag Unitized Report.xlsx,2,I think the most important is probably in terms of design.,,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"I would, I’d really like to renovate all of the upper level so that the customers can, I guess, like.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Use that space, to have that entirely customer based space.",,,,SB,Perfectly Consistent,SB,SB,SB,SB,SB,Test_Code,SB
1005-03-Ag Unitized Report.xlsx,1,"Let’s just, let’s just go through, because this is the easiest way to, for us both to get the most we want because our priorities are not the same.",,,,DIFF,Perfectly Consistent,DIFF,DIFF,DIFF,DIFF,DIFF,Test_Code,DIFF
1005-03-Ag Unitized Report.xlsx,2,Right.  ,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Yeah, I know.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Yeah, they are not.",,,,DIFF,Highly Consistent,DIFF,AGR,DIFF,DIFF,DIFF,Test_Code,DIFF
1005-03-Ag Unitized Report.xlsx,1,So.,,,,MISC,Highly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"So, I mean, do you want to go through each, like staff?",,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"It’s, that’ll be the easiest way to get this done.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"Sure, all right.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Most advantageously.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,Sure.  ,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,So what are your expectations for staff?,,,,QP,Perfectly Consistent,QP,QP,QP,QP,QP,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,1,The most important thing for me is staff.  ,,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,1,"Well, because you know I have specialized products that I need to.",,,,SB,Perfectly Consistent,SB,SB,SB,SB,SB,Test_Code,SB
1005-03-Ag Unitized Report.xlsx,2,"Right, exactly.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"For me it goes my most important is staff, followed by maintenance, then design is my third.  ",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,1,"And if that’s your first, you know, we can do that then.  ",,,,INT_PROC,Perfectly Consistent,INT_PROC,INT_PROC,INT_PROC,INT_PROC,INT_PROC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,Temperature and then this website.,,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,Sure.,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,What’s the order for you?,,,,QR,Perfectly Consistent,QR,QR,QR,QR,QR,Test_Code,QR
1005-03-Ag Unitized Report.xlsx,2,Probably design and then temperature.,,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"After that, maintenance, maintenance, staff and then the website.",,,,IR,Perfectly Consistent,IR,IR,IR,IR,IR,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,1,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"So since website’s least important for all of us, let’s figure out, you know, how.  ",,,,SIM,Perfectly Consistent,SIM,SIM,SIM,SIM,SIM,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,Since staff’s your fourth and design’s my third.,,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,DIFF
1005-03-Ag Unitized Report.xlsx,2,Right.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Would you be willing?  ,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QR
1005-03-Ag Unitized Report.xlsx,1,I would be willing to just completely concede on design if you’d be willing to completely concede on staff.,,,,INT_PROC,Perfectly Consistent,INT_PROC,INT_PROC,INT_PROC,INT_PROC,INT_PROC,Test_Code,INT_PROC
1005-03-Ag Unitized Report.xlsx,2,"Yes, that’s, yeah.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Done?,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QO
1005-03-Ag Unitized Report.xlsx,2,"Yeah, that sounds good, yeah.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"So option, for me it’s Option 6.  ",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,1,"Do we have, where are we, do you have something to copy this down on or?",,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"So, I mean, on the back of this, sure.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Or is it just on the recording?  ,,,,QM,Perfectly Consistent,QM,QM,QM,QM,QM,Test_Code,QM
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,So for staff you’d like Option 6?,,,,QO,Perfectly Consistent,QO,QO,QO,QO,QO,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,1,"Six, yes, which is hire and train individually, all decisions made by me.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Right.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Yeah.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"Okay, good deal.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,All right.,,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"And then in terms of design, mine would also be Option 6.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,So.,,,,MISC,Highly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"Yeah, renovate all the upper level.",,,,IP,Highly Consistent,IP,IN,IP,IP,IP,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,Right.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"Okay, yeah.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,That’s just the easiest way to do this.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,SB
1005-03-Ag Unitized Report.xlsx,2,"And then, sure.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"For, and then, okay, the last ones are temperature and maintenance and website.",,,,SF,Perfectly Consistent,SF,SF,SF,SF,SF,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"Okay, so temperature.",,,,P1,Perfectly Consistent,P1,P1,P1,P1,P1,Test_Code,P1
1005-03-Ag Unitized Report.xlsx,2,"I can, I’m going to guess that you would like it to be cooler in there because of all the, whatever heat from everything.  ",,,,IN,Perfectly Consistent,IN,IN,IN,IN,IN,Test_Code,IN
1005-03-Ag Unitized Report.xlsx,2,"Like in, like my, I mean, obviously, like I would prefer Temperature 1 because it’s warm and people want more ice cream when it’s, like, hot in the store.",,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,IP
1005-03-Ag Unitized Report.xlsx,1,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"Well, yeah, I’d be willing to, I could do Temperature 1 if.",,,,INT_PROC,Perfectly Consistent,INT_PROC,INT_PROC,INT_PROC,INT_PROC,INT_PROC,Test_Code,INT_PROC
1005-03-Ag Unitized Report.xlsx,2,Okay.,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,We can do something on maintenance which is more advantageous for me.,,,,INT_PROC,Perfectly Consistent,INT_PROC,INT_PROC,INT_PROC,INT_PROC,INT_PROC,Test_Code,INT_PROC
1005-03-Ag Unitized Report.xlsx,2,"Okay, that sounds fine.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"All right, Temperature 1, that’s fine.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,OFF
1005-03-Ag Unitized Report.xlsx,2,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,All right.  ,,,,MISC,Highly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,And what would you prefer with maintenance?,,,,QP,Perfectly Consistent,QP,QP,QP,QP,QP,Test_Code,QP
1005-03-Ag Unitized Report.xlsx,1,I would prefer Maintenance 1.,,,,IP,Perfectly Consistent,IP,IP,IP,IP,IP,Test_Code,IR
1005-03-Ag Unitized Report.xlsx,2,Okay.  ,,,,AGR,Highly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,All right.  ,,,,MISC,Highly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,2,"And I’m, yeah, I’m okay with that if you’re okay.",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,"Cool, cool.  ",,,,AGR,Perfectly Consistent,AGR,AGR,AGR,AGR,AGR,Test_Code,AGR
1005-03-Ag Unitized Report.xlsx,1,This is so easy.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"This is like, we’re like super friendly and like.  ",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,I don’t think it was supposed to be this easy.,,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,1,"Well, well.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
1005-03-Ag Unitized Report.xlsx,2,"I mean, it’s, I mean, there’s not a whole lot that’s difficult on it.",,,,MISC,Perfectly Consistent,MISC,MISC,MISC,MISC,MISC,Test_Code,MISC
